org_public_slug,org_display_name,org_industry,org_description,org_github_org_url,org_logo_url,team_slug,team_name,org_is_public,repo_github_repo,repo_slug,repo_display_name,repo_description,repo_github_url,is_flagship,repo_is_public,sync_enabled,insights_enabled,initial_backfill_days,display_order
trigger,Trigger.dev,automation,Background jobs and event-driven task orchestration.,https://github.com/triggerdotdev,https://github.com/triggerdotdev.png,trigger-demo,Trigger.dev,false,triggerdotdev/trigger.dev,trigger-dev,trigger.dev,,https://github.com/triggerdotdev/trigger.dev,true,true,true,false,180,0
vercel,Vercel,devops,"Deployment platform, frontend framework, and build tooling.",https://github.com/vercel,https://github.com/vercel.png,vercel-demo,Vercel,false,vercel/next.js,next-js,next.js,,https://github.com/vercel/next.js,true,true,true,false,180,0
vercel,Vercel,devops,"Deployment platform, frontend framework, and build tooling.",https://github.com/vercel,https://github.com/vercel.png,vercel-demo,Vercel,false,vercel/vercel,vercel,vercel,,https://github.com/vercel/vercel,false,true,true,false,180,1
vercel,Vercel,devops,"Deployment platform, frontend framework, and build tooling.",https://github.com/vercel,https://github.com/vercel.png,vercel-demo,Vercel,false,vercel/turborepo,turborepo,turborepo,,https://github.com/vercel/turborepo,false,true,true,false,180,2
supabase,Supabase,baas,Open source Firebase alternative.,https://github.com/supabase,https://github.com/supabase.png,supabase-demo,Supabase,false,supabase/supabase,supabase,supabase,,https://github.com/supabase/supabase,true,true,true,false,180,0
supabase,Supabase,baas,Open source Firebase alternative.,https://github.com/supabase,https://github.com/supabase.png,supabase-demo,Supabase,false,supabase/realtime,realtime,realtime,,https://github.com/supabase/realtime,false,true,true,false,180,1
supabase,Supabase,baas,Open source Firebase alternative.,https://github.com/supabase,https://github.com/supabase.png,supabase-demo,Supabase,false,supabase/supabase-js,supabase-js,supabase-js,,https://github.com/supabase/supabase-js,false,true,true,false,180,2
langchain,LangChain,ai_llm,LLM application framework and agent runtime tooling.,https://github.com/langchain-ai,https://github.com/langchain-ai.png,langchain-demo,LangChain,false,langchain-ai/langchain,langchain,langchain,,https://github.com/langchain-ai/langchain,true,true,true,false,180,0
langchain,LangChain,ai_llm,LLM application framework and agent runtime tooling.,https://github.com/langchain-ai,https://github.com/langchain-ai.png,langchain-demo,LangChain,false,langchain-ai/langgraph,langgraph,langgraph,,https://github.com/langchain-ai/langgraph,false,true,true,false,180,1
langchain,LangChain,ai_llm,LLM application framework and agent runtime tooling.,https://github.com/langchain-ai,https://github.com/langchain-ai.png,langchain-demo,LangChain,false,langchain-ai/langchainjs,langchainjs,langchainjs,,https://github.com/langchain-ai/langchainjs,false,true,true,false,180,2
resend,Resend,communication,Developer-first email API and email tooling.,https://github.com/resend,https://github.com/resend.png,resend-demo,Resend,false,resend/resend-node,resend-node,resend-node,,https://github.com/resend/resend-node,true,true,true,false,180,0
resend,Resend,communication,Developer-first email API and email tooling.,https://github.com/resend,https://github.com/resend.png,resend-demo,Resend,false,resend/react-email,react-email,react-email,,https://github.com/resend/react-email,false,true,true,false,180,1
neon,Neon,database,Serverless Postgres platform and client tooling.,https://github.com/neondatabase,https://github.com/neondatabase.png,neon-demo,Neon,false,neondatabase/neon,neon,neon,,https://github.com/neondatabase/neon,true,true,true,false,180,0
neon,Neon,database,Serverless Postgres platform and client tooling.,https://github.com/neondatabase,https://github.com/neondatabase.png,neon-demo,Neon,false,neondatabase/serverless,serverless,serverless,,https://github.com/neondatabase/serverless,false,true,true,false,180,1
twenty,Twenty,crm,Open CRM and revenue operations platform.,https://github.com/twentyhq,https://github.com/twentyhq.png,twenty-demo,Twenty CRM,false,twentyhq/twenty,twenty,twenty,,https://github.com/twentyhq/twenty,true,true,true,false,180,0
novu,Novu,communication,Notification infrastructure and workflow orchestration.,https://github.com/novuhq,https://github.com/novuhq.png,novu-demo,Novu,false,novuhq/novu,novu,novu,,https://github.com/novuhq/novu,true,true,true,false,180,0
hoppscotch,Hoppscotch,devops,API development and testing platform.,https://github.com/hoppscotch,https://github.com/hoppscotch.png,hoppscotch-demo,Hoppscotch,false,hoppscotch/hoppscotch,hoppscotch,hoppscotch,,https://github.com/hoppscotch/hoppscotch,true,true,true,false,180,0
plane,Plane,project_mgmt,Project planning and issue tracking platform.,https://github.com/makeplane,https://github.com/makeplane.png,plane-demo,Plane,false,makeplane/plane,plane,plane,,https://github.com/makeplane/plane,true,true,true,false,180,0
documenso,Documenso,scheduling,Document signing and approval workflow platform.,https://github.com/documenso,https://github.com/documenso.png,documenso-demo,Documenso,false,documenso/documenso,documenso,documenso,,https://github.com/documenso/documenso,true,true,true,false,180,0
coolify,Coolify,devops,Self-hosted application and infrastructure platform.,https://github.com/coollabsio,https://github.com/coollabsio.png,coolify-demo,Coolify,false,coollabsio/coolify,coolify,coolify,,https://github.com/coollabsio/coolify,true,true,true,false,180,0
infisical,Infisical,identity,Secrets management and machine identity platform.,https://github.com/Infisical,https://github.com/Infisical.png,infisical-demo,Infisical,false,Infisical/infisical,infisical,infisical,,https://github.com/Infisical/infisical,true,true,true,false,180,0
dub,Dub,devops,"Link management, attribution, and routing platform.",https://github.com/dubinc,https://github.com/dubinc.png,dub-demo,Dub,false,dubinc/dub,dub,dub,,https://github.com/dubinc/dub,true,true,true,false,180,0
lago,Lago,billing,Usage-based billing and revenue platform.,https://github.com/getlago,https://github.com/getlago.png,lago-demo,Lago,false,getlago/lago,lago,lago,,https://github.com/getlago/lago,true,true,true,false,180,0
formbricks,Formbricks,forms,"Product feedback, surveys, and experience research.",https://github.com/formbricks,https://github.com/formbricks.png,formbricks-demo,Formbricks,false,formbricks/formbricks,formbricks,formbricks,,https://github.com/formbricks/formbricks,true,true,true,false,180,0
chatwoot,Chatwoot,customer_support,Customer support inbox and messaging platform.,https://github.com/chatwoot,https://github.com/chatwoot.png,chatwoot-demo,Chatwoot,false,chatwoot/chatwoot,chatwoot,chatwoot,,https://github.com/chatwoot/chatwoot,true,true,true,false,180,0
medusa,Medusa,ecommerce,Composable commerce platform and APIs.,https://github.com/medusajs,https://github.com/medusajs.png,medusa-demo,Medusa,false,medusajs/medusa,medusa,medusa,,https://github.com/medusajs/medusa,true,true,true,false,180,0
appsmith,Appsmith,internal_tools,Internal app builder and workflow platform.,https://github.com/appsmithorg,https://github.com/appsmithorg.png,appsmith-demo,Appsmith,false,appsmithorg/appsmith,appsmith,appsmith,,https://github.com/appsmithorg/appsmith,true,true,true,false,180,0
n8n,n8n,automation,Workflow automation and integration platform.,https://github.com/n8n-io,https://github.com/n8n-io.png,n8n-demo,n8n,false,n8n-io/n8n,n8n,n8n,,https://github.com/n8n-io/n8n,true,true,true,false,180,0
strapi,Strapi,cms,Headless CMS and content APIs.,https://github.com/strapi,https://github.com/strapi.png,strapi-demo,Strapi,false,strapi/strapi,strapi,strapi,,https://github.com/strapi/strapi,true,true,true,false,180,0
affine,AFFiNE,knowledge,"Knowledge base, docs, and collaborative workspace.",https://github.com/toeverything,https://github.com/toeverything.png,affine-demo,AFFiNE,false,toeverything/AFFiNE,affine,AFFiNE,,https://github.com/toeverything/AFFiNE,true,true,true,false,180,0
dify,Dify,ai_llm,LLM application development and orchestration platform.,https://github.com/langgenius,https://github.com/langgenius.png,dify-demo,Dify,false,langgenius/dify,dify,dify,,https://github.com/langgenius/dify,true,true,true,false,180,0
pocketbase,PocketBase,baas,Embedded backend for apps and prototypes.,https://github.com/pocketbase,https://github.com/pocketbase.png,pocketbase-demo,PocketBase,false,pocketbase/pocketbase,pocketbase,pocketbase,,https://github.com/pocketbase/pocketbase,true,true,true,false,180,0
plausible,Plausible,analytics,Privacy-first product analytics.,https://github.com/plausible,https://github.com/plausible.png,plausible-demo,Plausible,false,plausible/analytics,analytics,analytics,,https://github.com/plausible/analytics,true,true,true,false,180,0
signoz,SigNoz,analytics,Application observability and tracing platform.,https://github.com/SigNoz,https://github.com/SigNoz.png,signoz-demo,SigNoz,false,SigNoz/signoz,signoz,signoz,,https://github.com/SigNoz/signoz,true,true,true,false,180,0
growthbook,GrowthBook,feature_flags,Feature flags and experimentation platform.,https://github.com/growthbook,https://github.com/growthbook.png,growthbook-demo,GrowthBook,false,growthbook/growthbook,growthbook,growthbook,,https://github.com/growthbook/growthbook,true,true,true,false,180,0
huly,Huly,project_mgmt,Project collaboration and work management platform.,https://github.com/hcengineering,https://github.com/hcengineering.png,huly-demo,Huly,false,hcengineering/huly,huly,huly,,https://github.com/hcengineering/huly,true,true,true,false,180,0
huly,Huly,project_mgmt,Project collaboration and work management platform.,https://github.com/hcengineering,https://github.com/hcengineering.png,huly-demo,Huly,false,hcengineering/platform,platform,platform,,https://github.com/hcengineering/platform,false,true,true,false,180,1
mattermost,Mattermost,communication,Team messaging and collaboration platform.,https://github.com/mattermost,https://github.com/mattermost.png,mattermost-demo,Mattermost,false,mattermost/mattermost,mattermost,mattermost,,https://github.com/mattermost/mattermost,true,true,true,false,180,0
saleor,Saleor,ecommerce,Composable commerce APIs and storefront platform.,https://github.com/saleor,https://github.com/saleor.png,saleor-demo,Saleor,false,saleor/saleor,saleor,saleor,,https://github.com/saleor/saleor,true,true,true,false,180,0
tooljet,ToolJet,internal_tools,Internal tools builder and app platform.,https://github.com/ToolJet,https://github.com/ToolJet.png,tooljet-demo,ToolJet,false,ToolJet/ToolJet,tooljet,ToolJet,,https://github.com/ToolJet/ToolJet,true,true,true,false,180,0
directus,Directus,cms,Headless data platform and APIs.,https://github.com/directus,https://github.com/directus.png,directus-demo,Directus,false,directus/directus,directus,directus,,https://github.com/directus/directus,true,true,true,false,180,0
typebot,Typebot,forms,Conversational forms and workflow capture.,https://github.com/baptisteArno,https://github.com/baptisteArno.png,typebot-demo,Typebot,false,baptisteArno/typebot.io,typebot-io,typebot.io,,https://github.com/baptisteArno/typebot.io,true,true,true,false,180,0
appwrite,Appwrite,baas,Backend-as-a-service and developer platform.,https://github.com/appwrite,https://github.com/appwrite.png,appwrite-demo,Appwrite,false,appwrite/appwrite,appwrite,appwrite,,https://github.com/appwrite/appwrite,true,true,true,false,180,0
ghost,Ghost,cms,Publishing platform and memberships.,https://github.com/TryGhost,https://github.com/TryGhost.png,ghost-demo,Ghost,false,TryGhost/Ghost,ghost,Ghost,,https://github.com/TryGhost/Ghost,true,true,true,false,180,0
zitadel,Zitadel,identity,"Identity, authentication, and access platform.",https://github.com/zitadel,https://github.com/zitadel.png,zitadel-demo,Zitadel,false,zitadel/zitadel,zitadel,zitadel,,https://github.com/zitadel/zitadel,true,true,true,false,180,0
outline,Outline,knowledge,Team knowledge base and documentation platform.,https://github.com/outline,https://github.com/outline.png,outline-demo,Outline,false,outline/outline,outline,outline,,https://github.com/outline/outline,true,true,true,false,180,0
budibase,Budibase,internal_tools,Low-code internal tooling platform.,https://github.com/Budibase,https://github.com/Budibase.png,budibase-demo,Budibase,false,Budibase/budibase,budibase,budibase,,https://github.com/Budibase/budibase,true,true,true,false,180,0
webstudio,Webstudio,design,Visual website builder and publishing platform.,https://github.com/webstudio-is,https://github.com/webstudio-is.png,webstudio-demo,Webstudio,false,webstudio-is/webstudio,webstudio,webstudio,,https://github.com/webstudio-is/webstudio,true,true,true,false,180,0
ollama,Ollama,ai_llm,Local model runtime and developer tooling.,https://github.com/ollama,https://github.com/ollama.png,ollama-demo,Ollama,false,ollama/ollama,ollama,ollama,,https://github.com/ollama/ollama,true,true,true,false,180,0
openwebui,Open WebUI,ai_llm,Open UI layer for model chat and agents.,https://github.com/open-webui,https://github.com/open-webui.png,openwebui-demo,Open WebUI,false,open-webui/open-webui,open-webui,open-webui,,https://github.com/open-webui/open-webui,true,true,true,false,180,0
continue,Continue,ai_llm,AI coding assistant and workflow tooling.,https://github.com/continuedev,https://github.com/continuedev.png,continue-demo,Continue,false,continuedev/continue,continue,continue,,https://github.com/continuedev/continue,true,true,true,false,180,0
portainer,Portainer,devops,Container operations and infrastructure management.,https://github.com/portainer,https://github.com/portainer.png,portainer-demo,Portainer,false,portainer/portainer,portainer,portainer,,https://github.com/portainer/portainer,true,true,true,false,180,0
netdata,Netdata,analytics,Infrastructure monitoring and troubleshooting platform.,https://github.com/netdata,https://github.com/netdata.png,netdata-demo,Netdata,false,netdata/netdata,netdata,netdata,,https://github.com/netdata/netdata,true,true,true,false,180,0
grafana,Grafana,analytics,Observability dashboards and telemetry platform.,https://github.com/grafana,https://github.com/grafana.png,grafana-demo,Grafana,false,grafana/grafana,grafana,grafana,,https://github.com/grafana/grafana,true,true,true,false,180,0
traefik,Traefik,devops,Cloud-native proxy and ingress platform.,https://github.com/traefik,https://github.com/traefik.png,traefik-demo,Traefik,false,traefik/traefik,traefik,traefik,,https://github.com/traefik/traefik,true,true,true,false,180,0
payload,Payload CMS,cms,Headless CMS and application framework.,https://github.com/payloadcms,https://github.com/payloadcms.png,payload-demo,Payload CMS,false,payloadcms/payload,payload,payload,,https://github.com/payloadcms/payload,true,true,true,false,180,0
rocketchat,Rocket.Chat,communication,Team chat and customer messaging platform.,https://github.com/RocketChat,https://github.com/RocketChat.png,rocketchat-demo,Rocket.Chat,false,RocketChat/Rocket.Chat,rocket-chat,Rocket.Chat,,https://github.com/RocketChat/Rocket.Chat,true,true,true,false,180,0
zulip,Zulip,communication,Threaded team chat and collaboration.,https://github.com/zulip,https://github.com/zulip.png,zulip-demo,Zulip,false,zulip/zulip,zulip,zulip,,https://github.com/zulip/zulip,true,true,true,false,180,0
nocodb,NocoDB,internal_tools,Spreadsheet-like database apps and workflows.,https://github.com/nocodb,https://github.com/nocodb.png,nocodb-demo,NocoDB,false,nocodb/nocodb,nocodb,nocodb,,https://github.com/nocodb/nocodb,true,true,true,false,180,0
baserow,Baserow,internal_tools,Database-backed no-code app platform.,https://github.com/baserow,https://github.com/baserow.png,baserow-demo,Baserow,false,baserow/baserow,baserow,baserow,,https://github.com/baserow/baserow,true,true,true,false,180,0
keycloak,Keycloak,identity,Identity and access management platform.,https://github.com/keycloak,https://github.com/keycloak.png,keycloak-demo,Keycloak,false,keycloak/keycloak,keycloak,keycloak,,https://github.com/keycloak/keycloak,true,true,true,false,180,0
surrealdb,SurrealDB,database,Multi-model database platform.,https://github.com/surrealdb,https://github.com/surrealdb.png,surrealdb-demo,SurrealDB,false,surrealdb/surrealdb,surrealdb,surrealdb,,https://github.com/surrealdb/surrealdb,true,true,true,false,180,0
questdb,QuestDB,database,Time-series database for product and infra telemetry.,https://github.com/questdb,https://github.com/questdb.png,questdb-demo,QuestDB,false,questdb/questdb,questdb,questdb,,https://github.com/questdb/questdb,true,true,true,false,180,0
umami,Umami,analytics,Privacy-focused website analytics.,https://github.com/umami-software,https://github.com/umami-software.png,umami-demo,Umami,false,umami-software/umami,umami,umami,,https://github.com/umami-software/umami,true,true,true,false,180,0
openreplay,OpenReplay,analytics,Session replay and frontend debugging platform.,https://github.com/openreplay,https://github.com/openreplay.png,openreplay-demo,OpenReplay,false,openreplay/openreplay,openreplay,openreplay,,https://github.com/openreplay/openreplay,true,true,true,false,180,0
hyperswitch,Hyperswitch,billing,Payments orchestration and switching platform.,https://github.com/juspay,https://github.com/juspay.png,hyperswitch-demo,Hyperswitch,false,juspay/hyperswitch,hyperswitch,hyperswitch,,https://github.com/juspay/hyperswitch,true,true,true,false,180,0
penpot,Penpot,design,Design collaboration and interface tooling.,https://github.com/penpot,https://github.com/penpot.png,penpot-demo,Penpot,false,penpot/penpot,penpot,penpot,,https://github.com/penpot/penpot,true,true,true,false,180,0
excalidraw,Excalidraw,design,Collaborative whiteboarding and diagrams.,https://github.com/excalidraw,https://github.com/excalidraw.png,excalidraw-demo,Excalidraw,false,excalidraw/excalidraw,excalidraw,excalidraw,,https://github.com/excalidraw/excalidraw,true,true,true,false,180,0
activepieces,Activepieces,automation,Automation platform for operational workflows.,https://github.com/activepieces,https://github.com/activepieces.png,activepieces-demo,Activepieces,false,activepieces/activepieces,activepieces,activepieces,,https://github.com/activepieces/activepieces,true,true,true,false,180,0
windmill,Windmill,automation,"Scripts, workflows, and internal tooling runtime.",https://github.com/windmill-labs,https://github.com/windmill-labs.png,windmill-demo,Windmill,false,windmill-labs/windmill,windmill,windmill,,https://github.com/windmill-labs/windmill,true,true,true,false,180,0
hasura,Hasura,baas,GraphQL APIs and data access platform.,https://github.com/hasura,https://github.com/hasura.png,hasura-demo,Hasura,false,hasura/graphql-engine,graphql-engine,graphql-engine,,https://github.com/hasura/graphql-engine,true,true,true,false,180,0
flagsmith,Flagsmith,feature_flags,Feature management and remote config.,https://github.com/Flagsmith,https://github.com/Flagsmith.png,flagsmith-demo,Flagsmith,false,Flagsmith/flagsmith,flagsmith,flagsmith,,https://github.com/Flagsmith/flagsmith,true,true,true,false,180,0
unleash,Unleash,feature_flags,Feature flagging and controlled rollouts.,https://github.com/Unleash,https://github.com/Unleash.png,unleash-demo,Unleash,false,Unleash/unleash,unleash,unleash,,https://github.com/Unleash/unleash,true,true,true,false,180,0
rallly,Rallly,scheduling,Scheduling polls and lightweight coordination.,https://github.com/lukevella,https://github.com/lukevella.png,rallly-demo,Rallly,false,lukevella/rallly,rallly,rallly,,https://github.com/lukevella/rallly,true,true,true,false,180,0
erpnext,ERPNext,crm,"ERP, operations, and business workflow platform.",https://github.com/frappe,https://github.com/frappe.png,erpnext-demo,ERPNext,false,frappe/erpnext,erpnext,erpnext,,https://github.com/frappe/erpnext,true,true,true,false,180,0
airbyte,Airbyte,automation,Data integration and pipeline platform.,https://github.com/airbytehq,https://github.com/airbytehq.png,airbyte-demo,Airbyte,false,airbytehq/airbyte,airbyte,airbyte,,https://github.com/airbytehq/airbyte,true,true,true,false,180,0
dagster,Dagster,automation,Data orchestration and workflow platform.,https://github.com/dagster-io,https://github.com/dagster-io.png,dagster-demo,Dagster,false,dagster-io/dagster,dagster,dagster,,https://github.com/dagster-io/dagster,true,true,true,false,180,0
prefect,Prefect,automation,Workflow orchestration and infrastructure automation.,https://github.com/PrefectHQ,https://github.com/PrefectHQ.png,prefect-demo,Prefect,false,PrefectHQ/prefect,prefect,prefect,,https://github.com/PrefectHQ/prefect,true,true,true,false,180,0
sentry,Sentry,analytics,"Application monitoring, errors, and release visibility.",https://github.com/getsentry,https://github.com/getsentry.png,sentry-demo,Sentry,false,getsentry/sentry,sentry,sentry,,https://github.com/getsentry/sentry,true,true,true,false,180,0
metabase,Metabase,analytics,Business intelligence and product reporting platform.,https://github.com/metabase,https://github.com/metabase.png,metabase-demo,Metabase,false,metabase/metabase,metabase,metabase,,https://github.com/metabase/metabase,true,true,true,false,180,0
langfuse,Langfuse,analytics,Observability and analytics for LLM applications.,https://github.com/langfuse,https://github.com/langfuse.png,langfuse-demo,Langfuse,false,langfuse/langfuse,langfuse,langfuse,,https://github.com/langfuse/langfuse,true,true,true,false,180,0
temporal,Temporal,automation,Durable workflow execution and orchestration.,https://github.com/temporalio,https://github.com/temporalio.png,temporal-demo,Temporal,false,temporalio/temporal,temporal,temporal,,https://github.com/temporalio/temporal,true,true,true,false,180,0
rudderstack,RudderStack,analytics,Event pipelines and customer data infrastructure.,https://github.com/rudderlabs,https://github.com/rudderlabs.png,rudderstack-demo,RudderStack,false,rudderlabs/rudder-server,rudder-server,rudder-server,,https://github.com/rudderlabs/rudder-server,true,true,true,false,180,0
authentik,Authentik,identity,Identity provider and access platform.,https://github.com/goauthentik,https://github.com/goauthentik.png,authentik-demo,Authentik,false,goauthentik/authentik,authentik,authentik,,https://github.com/goauthentik/authentik,true,true,true,false,180,0
ory,ORY,identity,"Authentication, authorization, and identity platform.",https://github.com/ory,https://github.com/ory.png,ory-demo,ORY,false,ory/kratos,kratos,kratos,,https://github.com/ory/kratos,true,true,true,false,180,0
ory,ORY,identity,"Authentication, authorization, and identity platform.",https://github.com/ory,https://github.com/ory.png,ory-demo,ORY,false,ory/hydra,hydra,hydra,,https://github.com/ory/hydra,false,true,true,false,180,1
supertokens,SuperTokens,identity,Authentication infrastructure for product teams.,https://github.com/supertokens,https://github.com/supertokens.png,supertokens-demo,SuperTokens,false,supertokens/supertokens-core,supertokens-core,supertokens-core,,https://github.com/supertokens/supertokens-core,true,true,true,false,180,0
kong,Kong,devops,API gateway and platform engineering tooling.,https://github.com/Kong,https://github.com/Kong.png,kong-demo,Kong,false,Kong/kong,kong,kong,,https://github.com/Kong/kong,true,true,true,false,180,0
clickhouse,ClickHouse,database,Analytical database and query engine.,https://github.com/ClickHouse,https://github.com/ClickHouse.png,clickhouse-demo,ClickHouse,false,ClickHouse/ClickHouse,clickhouse,ClickHouse,,https://github.com/ClickHouse/ClickHouse,true,true,true,false,180,0
meilisearch,Meilisearch,database,Search engine and developer search APIs.,https://github.com/meilisearch,https://github.com/meilisearch.png,meilisearch-demo,Meilisearch,false,meilisearch/meilisearch,meilisearch,meilisearch,,https://github.com/meilisearch/meilisearch,true,true,true,false,180,0
qdrant,Qdrant,database,Vector database and retrieval platform.,https://github.com/qdrant,https://github.com/qdrant.png,qdrant-demo,Qdrant,false,qdrant/qdrant,qdrant,qdrant,,https://github.com/qdrant/qdrant,true,true,true,false,180,0
opensearch,OpenSearch,database,"Search, analytics, and observability engine.",https://github.com/opensearch-project,https://github.com/opensearch-project.png,opensearch-demo,OpenSearch,false,opensearch-project/OpenSearch,opensearch,OpenSearch,,https://github.com/opensearch-project/OpenSearch,true,true,true,false,180,0
lightdash,Lightdash,analytics,Analytics and exploration on top of warehouse data.,https://github.com/lightdash,https://github.com/lightdash.png,lightdash-demo,Lightdash,false,lightdash/lightdash,lightdash,lightdash,,https://github.com/lightdash/lightdash,true,true,true,false,180,0
openmetadata,OpenMetadata,analytics,"Metadata, lineage, and data discovery platform.",https://github.com/open-metadata,https://github.com/open-metadata.png,openmetadata-demo,OpenMetadata,false,open-metadata/OpenMetadata,openmetadata,OpenMetadata,,https://github.com/open-metadata/OpenMetadata,true,true,true,false,180,0
litellm,LiteLLM,ai_llm,Model gateway and unified LLM API layer.,https://github.com/BerriAI,https://github.com/BerriAI.png,litellm-demo,LiteLLM,false,BerriAI/litellm,litellm,litellm,,https://github.com/BerriAI/litellm,true,true,true,false,180,0
permify,Permify,identity,Authorization service and fine-grained access control.,https://github.com/Permify,https://github.com/Permify.png,permify-demo,Permify,false,Permify/permify,permify,permify,,https://github.com/Permify/permify,true,true,true,false,180,0
milvus,Milvus,database,Vector database for search and AI retrieval.,https://github.com/milvus-io,https://github.com/milvus-io.png,milvus-demo,Milvus,false,milvus-io/milvus,milvus,milvus,,https://github.com/milvus-io/milvus,true,true,true,false,180,0
redpanda,Redpanda,database,Streaming data platform and Kafka-compatible infrastructure.,https://github.com/redpanda-data,https://github.com/redpanda-data.png,redpanda-demo,Redpanda,false,redpanda-data/redpanda,redpanda,redpanda,,https://github.com/redpanda-data/redpanda,true,true,true,false,180,0
openobserve,OpenObserve,analytics,"Logs, traces, and observability data platform.",https://github.com/openobserve,https://github.com/openobserve.png,openobserve-demo,OpenObserve,false,openobserve/openobserve,openobserve,openobserve,,https://github.com/openobserve/openobserve,true,true,true,false,180,0
semgrep,Semgrep,devops,Static analysis and application security tooling.,https://github.com/semgrep,https://github.com/semgrep.png,semgrep-demo,Semgrep,false,semgrep/semgrep,semgrep,semgrep,,https://github.com/semgrep/semgrep,true,true,true,false,180,0
cerbos,Cerbos,identity,Authorization policy engine for product teams.,https://github.com/cerbos,https://github.com/cerbos.png,cerbos-demo,Cerbos,false,cerbos/cerbos,cerbos,cerbos,,https://github.com/cerbos/cerbos,true,true,true,false,180,0
boxyhq,BoxyHQ,identity,Enterprise auth and directory sync tooling.,https://github.com/boxyhq,https://github.com/boxyhq.png,boxyhq-demo,BoxyHQ,false,boxyhq/jackson,jackson,jackson,,https://github.com/boxyhq/jackson,true,true,true,false,180,0
unkey,Unkey,identity,API key management and developer authentication tooling.,https://github.com/unkeyed,https://github.com/unkeyed.png,unkey-demo,Unkey,false,unkeyed/unkey,unkey,unkey,,https://github.com/unkeyed/unkey,true,true,true,false,180,0
openstatus,OpenStatus,devops,"Monitoring, incidents, and service status tooling.",https://github.com/openstatusHQ,https://github.com/openstatusHQ.png,openstatus-demo,OpenStatus,false,openstatusHQ/openstatus,openstatus,openstatus,,https://github.com/openstatusHQ/openstatus,true,true,true,false,180,0
prisma,Prisma,database,Database toolkit and ORM for application teams.,https://github.com/prisma,https://github.com/prisma.png,prisma-demo,Prisma,false,prisma/prisma,prisma,prisma,,https://github.com/prisma/prisma,true,true,true,false,180,0
